"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
cshq_date_b,childs_sleep_habits_questionnaire_cshq,"Children's Sleep Habits Questionnaire (Preschool and School-Aged) BEDTIME<br><br>The following statements are about your child's sleep habits and possible difficulties with sleep. Think about the past week in your life when you answer the questions. If last week was unusual for a specific reason (such as your child had an ear infection and did not sleep well or the TV set was broken), choose the most recent typical week. Answer USUALLY if something occurs 5 or 6 times a week; answer SOMETIMES if it occurs 2 to 4 times a week; answer RARELY if something occurs never or 1 time during a week. Also, please indicate whether or not the sleep habit is a problem by choosing ""Yes"", ""No"", or ""Not applicable (N/A).",text,"Date of CSHQ",,,date_ymd,,,,,,,,,,
cshq_sleepint_b,childs_sleep_habits_questionnaire_cshq,,dropdown,"Person completing Childs Sleep Habits Questionnaire","1, Birth Mother | 2, Birth Father | 3, Adoptive Mother | 4, Adoptive Father | 5, Grandmother | 6, GrandFather | 7, Other | 0, Step father | 8, Step Mother",,,,,,,,,,,,
cshq_bedtime_b,childs_sleep_habits_questionnaire_cshq,,text,"Time at which the child goes to sleep ",,"Child's bedtime in military time. (Ex: 8:30 pm = 20:30)",time,0,2400,,,,,,,,
cshq1_b,childs_sleep_habits_questionnaire_cshq,,dropdown,"Item 1: <br><br>Child goes to bed at the same time at night (R) (1)<br><br>","3, Usually (5-7) | 2, Sometimes (2-4) | 1, Rarely (0-1)","Frequency that parent endorsed for item 1",,,,,,,,,,,
cshq1pr_b,childs_sleep_habits_questionnaire_cshq,,dropdown,Problem?,"0, yes | 1, no | 2, N/A | 3, not entered","Parent indicated item 1 was a problem",,,,,,,,,,,
cshq2_b,childs_sleep_habits_questionnaire_cshq,,dropdown,"Item 2:<br><br>Child falls asleep within 20 minutes after going to bed (R) (2) <br>","3, Usually (5-7) | 2, Sometimes (2-4) | 1, Rarely (0-1)","Frequency that parent endorsed for item 2",,,,,,,,,,,
cshq2pr_b,childs_sleep_habits_questionnaire_cshq,,dropdown,Problem?,"0, yes | 1, no | 2, N/A | 3, not entered","Parent indicated item 2 was a problem",,,,,,,,,,,
cshq3_b,childs_sleep_habits_questionnaire_cshq,,dropdown,"Item 3:<br><br>Child falls asleep alone in own bed (R) (3) <br>","3, Usually (5-7) | 2, Sometimes (2-4) | 1, Rarely (0-1)","Frequency that parent endorsed for item 3",,,,,,,,,,,
cshq3pr_b,childs_sleep_habits_questionnaire_cshq,,dropdown,Problem?,"0, yes | 1, no | 2, N/A | 3, not entered","Parent indicated item 3 was a problem",,,,,,,,,,,
cshq4_b,childs_sleep_habits_questionnaire_cshq,,dropdown,"Item 4: <br><br>Child falls asleep in parent's or siblings's bed (4) ","3, Usually (5-7) | 2, Sometimes (2-4) | 1, Rarely (0-1)","Frequency that parent endorsed for item 4",,,,,,,,,,,
cshq4pr_b,childs_sleep_habits_questionnaire_cshq,,dropdown,Problem?,"0, yes | 1, no | 2, N/A | 3, not entered","Parent indicated item 4 was a problem",,,,,,,,,,,
cshq5_b,childs_sleep_habits_questionnaire_cshq,,dropdown,"Item 5: <br><br>Child falls asleep with rocking or rhythmic movements<br><br>","3, Usually (5-7) | 2, Sometimes (2-4) | 1, Rarely (0-1)","Frequency that parent endorsed for item 5",,,,,,,,,,,
