"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
epic_date,expanded_prostate_cancer_index_composite_epic_2200,"<div style=""text-align:center""><u>EPIC</u></div><br><div style=""text-align:center"">The <u>E</u>xpanded <u>P</u>rostate Cancer <u>I</u>ndex <u>C</u>omposite </div><br><br>This questionnaire is designed to measure Quality of Life issues in patients with Prostate cancer. To help us get the most accurate measurement, it is important that you answer all questions honestly and completely. Remember, as with all medical records, information contained within this survey will remain strictly confidential.",text,"Today's Date (please enter date when survey completed):",,,date_mdy,,,,,y,,,,,
epic_name,expanded_prostate_cancer_index_composite_epic_2200,,text,"Name (optional):",,,,,,,,,,,,,
epic_dob,expanded_prostate_cancer_index_composite_epic_2200,,text,"Date of Birth (optional):",,,date_mdy,,,,,,,,,,
epic_q23,expanded_prostate_cancer_index_composite_epic_2200,"URINARY FUNCTION <br><br>This section is about your urinary habits. Please consider ONLY THE LAST 4 WEEKS.",radio,"1. Over the past 4 weeks, how often have you leaked urine? (Choose one response)<br><br>","6, More than once a day | 7, About once a day | 8, More than once a week | 9, About once a week | 10, Rarely or never",,,,,,,,LV,,,,
epic_q24,expanded_prostate_cancer_index_composite_epic_2200,,radio,"2. Over the past 4 weeks, how often have you urinated blood? ((Choose one response)","1, More than once a day | 2, About once a day | 3, More than once a week | 4, About once a week | 5, Rarely or never",,,,,,,,LV,,,,
epic_q25,expanded_prostate_cancer_index_composite_epic_2200,,radio,"3. Over the past 4 weeks, how often have you had pain or burning with urination? (Choose one response)","1, More than once a day | 2, About once a day | 3, More than once a week | 4, About once a week | 5, Rarely or never",,,,,,,,LV,,,,
epic_q26,expanded_prostate_cancer_index_composite_epic_2200,,radio,"4. Which of the following best describes your urinary control <i>during the last 4 weeks</i>? (Choose one response)","1, No urinary control whatsoever | 2, Frequent dribbling | 3, Occasional dribbling | 4, Total control",,,,,,,,LV,,,,
epic_q27,expanded_prostate_cancer_index_composite_epic_2200,,radio,"5. How many pads or adult diapers per day did you use to control leakage <i>during the last 4 weeks</i>? (Choose one response)","0, None | 1, 1 pad per day | 2, 2 pads per day | 3, 3 or more pads per day",,,,,,,,LV,,,,
epic_q28,expanded_prostate_cancer_index_composite_epic_2200,"6. How big a problem, if any, has each of the following been for you <i>during the last 4 weeks</i>? (Choose one response on each line)",radio,"Dripping or leaking urine","0, No Problem | 1, Very Small Problem | 2, Small Problem | 3, Moderate Problem | 4, Big Problem",,,,,,,,,,matrix6,,
epic_q29,expanded_prostate_cancer_index_composite_epic_2200,,radio,"Pain or burning on urination","0, No Problem | 1, Very Small Problem | 2, Small Problem | 3, Moderate Problem | 4, Big Problem",,,,,,,,,,matrix6,,
epic_q30,expanded_prostate_cancer_index_composite_epic_2200,,radio,"Bleeding with urination","0, No Problem | 1, Very Small Problem | 2, Small Problem | 3, Moderate Problem | 4, Big Problem",,,,,,,,,,matrix6,,
epic_q31,expanded_prostate_cancer_index_composite_epic_2200,,radio,"Weak urine stream or incomplete emptying","0, No Problem | 1, Very Small Problem | 2, Small Problem | 3, Moderate Problem | 4, Big Problem",,,,,,,,,,matrix6,,
epic_q32,expanded_prostate_cancer_index_composite_epic_2200,,radio,"Waking up to urinate","0, No Problem | 1, Very Small Problem | 2, Small Problem | 3, Moderate Problem | 4, Big Problem",,,,,,,,,,matrix6,,
epic_q33,expanded_prostate_cancer_index_composite_epic_2200,,radio,"Need to urinate frequently during the day","0, No Problem | 1, Very Small Problem | 2, Small Problem | 3, Moderate Problem | 4, Big Problem",,,,,,,,,,matrix6,,
epic_q34,expanded_prostate_cancer_index_composite_epic_2200,,radio,"7. Overall, how big a problem has your urinary function been for you <i>during the last 4 weeks</i>? (Choose one response)","1, No problem | 2, Very small problem | 3, Small problem | 4, Moderate problem | 5, Big problem",,,,,,,,LV,,,,
epic_q42,expanded_prostate_cancer_index_composite_epic_2200,"BOWEL HABITS <br><br>The next section is about your bowel habits and abdominal pain. Please consider ONLY THE LAST 4 WEEKS.",radio,"8. How often have you had rectal urgenc<i>during the last 4 weeks</i>y (felt like I had to pass stool, but did not) during the last 4 weeks? (Choose one response)","1, More than once a day | 2, About once a day | 3, More than once a week | 4, About once a week | 5, Rarely or never",,,,,,,,LV,,,,
